book_name,c_content,c_reader,cid
追风筝的人,大家都喜欢那句“为你，千千万万遍”，我却喜欢“我们有什么权利指责别人的过去”,螃蟹蟹,739676723
追风筝的人,念及那些如风往事，冷暖自知。也许谁的生命里都有一只想要挽回的“风筝”，谁没有令自己痛悔的事，谁能保证自己的心灵永在阳光的照耀下？但重回那个被时光深埋的地点，重新面对心灵的考问，不是每个人都有那份勇气，即使，“那儿有再次成为好人的路”。,布拉德·跳票,501398740
追风筝的人,所有的罪只可忏悔，无可救赎。,匡匡,31119561
追风筝的人,为什么忠诚善良的人反而遭到这样的结局，面对阿米尔的污蔑，他和阿里选择离去。当房屋需要他时，他又毅然决然的选择坚守，为了阿米尔能够得到父亲的赞许，哈桑却受到那样的凌辱，换来的却是懦弱的阿米尔的回避，身份，阶级，好可笑的头衔，生命与忠诚在那些虚无的名誉不值一提。犹如草芥浮萍.... ,linn,629521767
追风筝的人,touched how can he write a book just like tell a story?,安东尼,13174887
追风筝的人,一般般。炒作的恶心,拔刀诀,182606394
追风筝的人,过誉,毛香菇,150923107
追风筝的人,①故事残忍，笔法温细。②哈桑的无我，阿塞夫的残暴，拉辛汗的洞察，索拉雅的包容，除了作者似乎他们都只有某一面。③不止一次想起喀布尔安魂曲。,大头绿豆,866144660
追风筝的人,"追到的只有自己的过去
救赎的只有自己的现在",胡安叔叔,260100688
追风筝的人,看了一大半，我想我不会继续看了，卡米尔已经让我十分生气，十分生气，well，我甚至觉得自己一开始不该喜欢作者的小笑话，以及作者让我想起了自己在掩饰的懦弱，非常可恨。,砒霜拌饭,525736899
追风筝的人,两年前，我在美国上一门英语课。坐在我旁边的男孩就来自阿富汗。当他用英语说出这个名字的时候，我们都以为他穿过重重战火和历史的沉疴而来，身上闪耀着神圣的荣光。而他，只是一个普通的阿富汗男孩，好像天空下奔跑着追风筝的人。,赫恩曼尼,1036294715
追风筝的人,非常好的一本通俗小说．适合拍电影的好脚本．里面有很多可贵的东西．但情节上也有些地方不可理喻．前半部非常的棒．但后面落入俗套子－－但还是感动了我．这是作者的处女作，已经非常的了不起了．,寂地,23556196
追风筝的人,翻译能不能查查字典，把‘阿富汗GCD’译成‘新政府’还情有可原，但‘阿訇’为何要变成‘法师’我实在是弄不明白。,袁牧,143204003
追风筝的人,"谁愿为我说“为你 千千万万遍”
我愿为谁说“为你 千千万万遍”",丧茶,143119115
追风筝的人,前半部比后半部好,沙子,83337243
追风筝的人,改变了我因为19：00对阿富汗20多年的曲解,不死渔夫,363515077
追风筝的人,往事会自行爬上来。,ANNXXNA,307773094
追风筝的人,“为你，千千万万遍。”我想，小说描写了一种最为诚挚的情感，而且它让你相信有些东西依然存在。在这个没有人相信承诺的年代，让人再次看到承诺背后那些美丽复杂的情感。这是一本好看的书，它让你重新思考。,九尾黑猫,397975466
追风筝的人,为你，千千万万遍。,福根儿,693413905
追风筝的人,"“来吧，这里有再次成为好人的路。”
",不识愁滋味,487038846
目送,驚醒自己：一個人不能自我陶醉成這個樣子。。。,長園花事,562155463
目送,中学生优秀作文选,makoto,466289754
目送,我总觉得，这书形式大过内容……,小米=qdmimi,270466448
目送,矫情,三个背影,176651088
目送,实在是觉得这些文字，拖沓，没有实际内容，过于华丽，矫情过头，没事找事说，这是我看龙应台的第一本书，居然让我有这种印象。。失望。。。,浅。,697661732
目送,大惊小怪的自以为是，矫揉造作的不知所云。,九色鹿,458550647
目送,徒有虚名，言过其实。,拔刀诀,211118582
目送,个人不是很喜欢这书，单独看每篇都不错，合在一起我就觉得比较腻，最直接的感想就是太矫情，不是说看不懂就是因为个人阅历没经过什么悲伤，也不是说先生的文笔不好，就是觉得不应该全部堆在一起，还有那大量的第三人称写法，真心觉得太故意。另外每三页一篇文就有一单页是配的图，不知是不是先生原配的，觉得很多都并不合适文字，我想很多人觉得这本只有280页卖39太贵也是有原因的,nikki,700820473
目送,这本书我看得很慢，除了代序第一篇就是很出名的＜＜目送＞＞。不错，感人；然后到＜＜明白＞＞，啊，挺感人的；再然后到＜＜回家＞＞，到＜＜母亲节＞＞，我看不下去了，能把这一点嚼烂到两百多页的书真是让人身心疲惫。另，龙的照片真的拍得。。。。呵呵后了,朵拉和朵拉,587366199
目送,除了第一篇的经典语句吸引我外 其他的 都略显矫情了,我才不是江湖骗子,631120575
目送,坐在美国中部大农村的院子里，几乎每看一篇，就要离开一下。文字里的感情异常浓烈，虽然用了克制的笔触。到最后写她父亲，尤其入土一节，她不再克制，而我则几乎几句话，就要移开下眼神，望望远处灰蒙蒙的天空，平复下情绪……除了感动，更是体会到生命的无奈。生命中只有几个人，对你才最重要的。,fwb,249001431
目送,"我们拼命地学习如何成功冲刺一百米，但是没有人教过我们：你跌倒时，怎么跌得有尊严；你的膝盖破得血肉模糊时，怎么清洗伤口、怎么包扎；你痛得无法忍受时，用什么样的表情去面对别人；你一头栽下时，怎么治疗内心淌血的创痛，怎么获得心灵深层的宁静；心像玻璃一样碎了一地时，怎么收拾？ 谁教过我们，在跌倒时，怎样的勇敢才真正有用？怎样的智慧才能度过？跌倒，怎样可以变成行远的力量？失败，为什么往往是人生的修行？何以跌倒过的人，更深刻、更真诚？ 
",Adiósardour,217506995
目送,对于没有密集信息点，语言不够迷人的文章真的看不下去惹。。这本比起亲爱的安德烈差好多，典型的高中语文阅读题文章。,小木心熊,808880789
目送,不能让妈妈读的书。,Amber安大倍,351634940
目送,修行的路总是孤独的，因为智慧必然来自孤独。,Yuyii,727877568
